opportunity_id,match_id,match_date,league,country,home_team,away_team,home_score,away_score,match_status,minute,red_cards_home,red_cards_away,season,round,rule_slug,rule_name,bet_type,opportunity_type,confidence_score,team_analyzed,outcome,home_team_rank,away_team_rank,home_confidence,away_confidence,home_consecutive_losses,away_consecutive_losses,home_consecutive_draws,away_consecutive_draws,home_consecutive_no_goals,away_consecutive_no_goals,created_at
213,1208,2025-11-30 23:15,Ligue 1,France,Le Havre,Lille,0,1,finished,54,0,1,2025,14,live_red_card,Live Match Red Card Rule,win,live_opportunity,0.6,Le Havre,lose,13,5,N/A,N/A,1,0,0,0,1,0,2025-11-30 17:30:12
212,1172,2025-11-30 23:30,Premier League,England,Chelsea,Arsenal,1,1,finished,39,1,0,2025,13,live_red_card,Live Match Red Card Rule,win,live_opportunity,0.5,Arsenal,lose,3,1,N/A,N/A,0,0,0,0,0,0,2025-11-30 17:09:12
211,1189,2025-11-30 21:30,Bundesliga,Germany,Hamburger SV,Stuttgart,2,1,finished,83,1,0,2025,12,live_red_card,Live Match Red Card Rule,win,live_opportunity,0.5,Stuttgart,lose,14,6,N/A,N/A,1,0,0,1,1,0,2025-11-30 16:12:30
210,1222,2025-11-29 23:30,Premier League,Russia,Baltika,Spartak Moscow,1,0,finished,34,1,0,2025,17,live_red_card,Live Match Red Card Rule,win,live_opportunity,0.6,Spartak Moscow,lose,5,6,N/A,N/A,0,0,2,0,1,0,2025-11-29 17:09:19
209,1187,2025-11-29 21:30,Bundesliga,Germany,Werder Bremen,FC Koln,1,1,finished,97,1,0,2025,12,live_red_card,Live Match Red Card Rule,win,live_opportunity,0.65,FC Koln,lose,9,10,N/A,N/A,1,2,0,0,1,0,2025-11-29 16:27:29
206,1199,2025-12-01 00:00,Serie A,Italy,Atalanta,Fiorentina,2,0,finished,N/A,0,0,2025,13,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.675,Atalanta,win,13,20,0.675,0.0,3,0,0,2,0,0,2025-11-29 10:39:52
205,1190,2025-11-30 23:30,Bundesliga,Germany,Eintracht Frankfurt,Wolfsburg,1,1,finished,N/A,0,0,2025,12,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.5,Wolfsburg,win,7,14,0.0,0.5,0,3,0,0,0,0,2025-11-29 10:39:52
204,1209,2025-11-30 23:15,Ligue 1,France,Lorient,Nice,3,1,finished,N/A,0,0,2025,14,consecutive_losses,Consecutive Losses Rule,draw_or_win,historical_analysis,0.7,Nice,lose,17,9,0.0,0.7,0,3,2,0,0,0,2025-11-29 10:39:52
203,1218,2025-11-30 22:45,Eredivisie,Netherlands,Twente,AZ Alkmaar,1,0,finished,N/A,0,0,2025,14,top5_consecutive_losses,Top 5 Consecutive Losses Rule,draw_or_win,historical_analysis,0.7,AZ Alkmaar,lose,8,3,0.0,0.7,0,2,3,0,0,0,2025-11-29 10:39:52
202,1218,2025-11-30 22:45,Eredivisie,Netherlands,Twente,AZ Alkmaar,1,0,finished,N/A,0,0,2025,14,consecutive_draws,Consecutive Draws Rule,win_or_lose,historical_analysis,0.6,Twente,win,8,3,0.6,0.0,0,2,3,0,0,0,2025-11-29 10:39:52
